User_ID,Age,Gender,Daily_Screen_Time(hrs),Sleep_Quality(1-10),Stress_Level(1-10),Days_Without_Social_Media,Exercise_Frequency(week),Social_Media_Platform,Happiness_Index(1-10)
,,Female,2.5,9.0,4.0,5.0,4.0,YouTube,10.0
U358,43.0,Male,3.8,8.0,,4.0,1.0,LinkedIn,10.0
U359,47.0,Male,7.4,6.0,,5.0,2.0,LinkedIn,7.0
U360,42.0,Male,6.5,5.0,7.0,1.0,2.0,Instagram,8.0
U361,35.0,Female,6.8,,9.0,3.0,0.0,X (Twitter),7.0
U362,39.0,Female,6.6,6.0,7.0,3.0,1.0,Instagram,7.0
U363,27.0,Male,7.8,5.0,8.0,0.0,4.0,TikTok,6.0
U364,48.0,Female,5.0,8.0,6.0,5.0,0.0,LinkedIn,10.0
U365,48.0,Male,5.7,7.0,7.0,1.0,3.0,Facebook,9.0
U366,27.0,Female,3.6,,5.0,2.0,1.0,TikTok,10.0
U367,18.0,Male,,9.0,5.0,1.0,3.0,Instagram,10.0
U368,16.0,Male,2.5,8.0,4.0,4.0,4.0,YouTube,10.0
U369,48.0,Female,3.9,6.0,5.0,0.0,2.0,LinkedIn,10.0
U370,25.0,Male,8.3,5.0,8.0,372.0,2.0,Facebook,7.0
U371,44.0,Male,2.7,9.0,5.0,5.0,1.0,TikTok,10.0
,28.0,Female,5.0,7.0,5.0,4.0,0.0,LinkedIn,9.0
U373,27.0,OTHER,3.2,9.0,6.0,4.0,5.0,X (Twitter),10.0
U374,46.0,Male,4.4,7.0,7.0,5.0,1.0,YouTube,8.0
U375,,Male,5.8,6.0,7.0,1.0,,TikTok,9.0
U376,38.0,Female,4.2,8.0,5.0,6.0,1.0,X (Twitter),10.0
U377,32.0,Male,7.5,4.0,7.0,2.0,3.0,Instagram,6.0
,41.0,Male,8.3,4.0,10.0,3.0,1.0,X (Twitter),6.0
U379,,Male,1.5,9.0,3.0,2.0,3.0,TikTok,10.0
U380,44.0,Female,4.3,8.0,7.0,4.0,2.0,TikTok,10.0
U381,41.0,Female,5.6,6.0,7.0,2.0,2.0,   Instagram   ,9.0
U382,25.0,Male,7.5,4.0,8.0,3.0,3.0,X (Twitter),203.0
U383,,Male,4.7,6.0,6.0,,2.0,X (Twitter),9.0
U384,49.0,Male,5.5,7.0,5.0,5.0,0.0,Instagram,10.0
U385,22.0,Female,3.4,8.0,6.0,,4.0,X (Twitter),10.0
U386,19.0,Male,2.7,8.0,5.0,2.0,1.0,LinkedIn,9.0
U387,26.0,Male,,5.0,7.0,2.0,3.0,Instagram,7.0
U388,44.0,Female,2.2,9.0,4.0,4.0,4.0,,10.0
U389,40.0,Male,9.7,4.0,10.0,,2.0,TikTok,
U390,36.0,Female,6.8,5.0,8.0,3.0,4.0,,8.0
U391,25.0,Male,6.7,7.0,7.0,5.0,3.0,LinkedIn,8.0
U392,24.0,Male,6.5,7.0,6.0,1.0,1.0,LinkedIn,7.0
U393,39.0,Male,5.0,5.0,6.0,4.0,5.0,Facebook,8.0
U394,33.0,Female,6.2,6.0,7.0,4.0,1.0,   nan   ,9.0
U395,47.0,Female,5.2,7.0,7.0,3.0,2.0,Facebook,9.0
U396,39.0,Female,6.5,5.0,7.0,2.0,2.0,Instagram,8.0
U397,38.0,Male,5.4,8.0,9.0,5.0,3.0,X (Twitter),8.0
U398,47.0,Female,3.8,,4.0,2.0,4.0,LinkedIn,10.0
U399,,Male,3.9,7.0,5.0,0.0,4.0,YouTube,10.0
U400,28.0,Male,3.7,8.0,,4.0,3.0,YouTube,10.0
U401,38.0,Female,7.2,5.0,8.0,1.0,2.0,YouTube,
U402,,Male,,7.0,5.0,4.0,0.0,YouTube,10.0
U403,45.0,,2.1,10.0,,6.0,1.0,Facebook,10.0
U404,32.0,MALE,,6.0,8.0,4.0,5.0,YouTube,7.0
U405,35.0,Male,8.2,4.0,9.0,5.0,0.0,X (Twitter),6.0
U406,40.0,Male,6.9,3.0,8.0,7.0,1.0,Facebook,6.0
U407,37.0,Female,4.4,7.0,6.0,5.0,4.0,YouTube,10.0
,28.0,Male,2.6,10.0,3.0,4.0,3.0,Instagram,10.0
U409,34.0,Female,5.3,6.0,6.0,6.0,4.0,TikTok,8.0
U410,27.0,Female,5.2,4.0,7.0,,3.0,TikTok,9.0
U411,34.0,Male,3.8,7.0,6.0,7.0,,TikTok,10.0
U412,27.0,Male,6.5,7.0,,2.0,3.0,,10.0
U413,24.0,Male,8.8,5.0,9.0,,,YouTube,6.0
U414,22.0,Female,5.9,,6.0,2.0,1.0,LinkedIn,9.0
U415,43.0,Male,5.8,6.0,7.0,4.0,3.0,LinkedIn,9.0
U416,29.0,Female,3.8,7.0,6.0,3.0,2.0,LinkedIn,8.0
U417,46.0,,8.0,4.0,8.0,3.0,2.0,Facebook,9.0
U418,34.0,Female,5.4,,5.0,4.0,4.0,,290.0
U419,31.0,Male,4.5,,5.0,0.0,4.0,Instagram,10.0
U420,20.0,MALE,5.6,8.0,8.0,,5.0,INSTAGRAM,8.0
U421,27.0,Other,6.3,4.0,9.0,5.0,5.0,TikTok,6.0
U422,40.0,Female,,,8.0,4.0,4.0,TikTok,8.0
U423,36.0,,7.7,5.0,8.0,4.0,0.0,LinkedIn,8.0
U424,38.0,Female,6.2,7.0,6.0,,5.0,LINKEDIN,10.0
U425,31.0,Female,5.0,7.0,6.0,3.0,4.0,TikTok,
U426,,Female,6.2,6.0,9.0,2.0,,YouTube,8.0
U427,46.0,,6.4,6.0,8.0,5.0,4.0,X (Twitter),8.0
U428,20.0,Male,3.2,7.0,5.0,5.0,1.0,X (Twitter),9.0
U429,38.0,Male,7.6,6.0,9.0,4.0,3.0,X (Twitter),8.0
U430,44.0,Male,5.0,6.0,5.0,3.0,1.0,X (Twitter),10.0
U431,26.0,Female,5.0,6.0,6.0,3.0,1.0,TikTok,10.0
U432,33.0,Female,6.9,6.0,7.0,0.0,4.0,Instagram,7.0
U433,27.0,Male,6.8,5.0,8.0,5.0,4.0,TikTok,7.0
U434,24.0,Male,4.2,8.0,7.0,5.0,3.0,X (TWITTER),7.0
U435,25.0,Female,6.9,7.0,7.0,0.0,2.0,TikTok,261.0
U436,32.0,,4.5,8.0,5.0,5.0,0.0,X (Twitter),10.0
U437,,Female,8.8,2.0,9.0,4.0,2.0,Facebook,7.0
U438,28.0,Male,4.0,7.0,5.0,1.0,3.0,LinkedIn,9.0
U439,24.0,Male,5.9,7.0,6.0,1.0,2.0,Instagram,8.0
U440,42.0,Male,4.1,6.0,,4.0,2.0,Facebook,9.0
U441,17.0,Female,9.5,4.0,9.0,2.0,2.0,YouTube,4.0
U442,20.0,Male,3.3,8.0,4.0,7.0,2.0,TikTok,10.0
U443,44.0,Female,6.4,5.0,6.0,5.0,3.0,YouTube,6.0
U444,34.0,Male,4.2,8.0,4.0,4.0,2.0,TikTok,10.0
U445,23.0,Female,4.9,7.0,7.0,4.0,5.0,LinkedIn,7.0
U446,,Female,6.3,6.0,7.0,6.0,,Facebook,8.0
U447,37.0,Female,7.7,4.0,8.0,5.0,2.0,   LinkedIn   ,8.0
U448,32.0,Male,8.4,5.0,9.0,4.0,1.0,X (Twitter),7.0
U449,22.0,Male,2.7,6.0,6.0,1.0,3.0,LinkedIn,8.0
U450,40.0,Male,6.0,4.0,6.0,9.0,3.0,LinkedIn,8.0
U451,1672.0,Female,8.1,5.0,9.0,1.0,,X (Twitter),7.0
U452,21.0,Female,2.5,9.0,3.0,2.0,5.0,TikTok,10.0
U453,46.0,Female,6.1,6.0,8.0,0.0,1.0,X (Twitter),6.0
   U454   ,34.0,Female,5.5,6.0,5.0,4.0,3.0,Facebook,10.0
U455,42.0,,6.2,6.0,6.0,3.0,3.0,LinkedIn,6.0
U456,25.0,Male,4.1,6.0,5.0,5.0,1.0,X (Twitter),9.0
,41.0,Female,2.9,8.0,3.0,0.0,3.0,LinkedIn,10.0
U458,,Male,2.1,9.0,4.0,5.0,2.0,Facebook,10.0
U459,18.0,Male,7.3,5.0,8.0,1.0,1.0,YouTube,7.0
U460,28.0,Female,7.5,6.0,8.0,3.0,,Facebook,6.0
U461,43.0,Male,6.0,6.0,5.0,5.0,1.0,   Instagram   ,9.0
U462,35.0,Male,4.5,7.0,8.0,4.0,4.0,Instagram,8.0
U463,43.0,Female,2.6,9.0,5.0,4.0,,Instagram,10.0
U464,23.0,Male,6.5,5.0,10.0,5.0,3.0,LinkedIn,5.0
U465,16.0,Female,3.5,8.0,5.0,4.0,,TikTok,10.0
U466,18.0,,4.2,7.0,7.0,2.0,3.0,TikTok,10.0
U467,28.0,Male,4.4,7.0,7.0,3.0,4.0,TikTok,8.0
U468,43.0,Male,5.1,,6.0,3.0,,LinkedIn,9.0
   U469   ,40.0,Male,4.1,6.0,7.0,1.0,2.0,Facebook,10.0
U470,48.0,Female,,6.0,6.0,5.0,3.0,TikTok,8.0
,21.0,Male,,5.0,6.0,,3.0,YouTube,7.0
U472,47.0,Female,6.8,5.0,4.0,3.0,1.0,Instagram,10.0
,36.0,Female,7.4,102.0,8.0,5.0,4.0,Facebook,5.0
U474,31.0,Female,5.7,7.0,5.0,3.0,5.0,Instagram,10.0
U475,,Female,6.3,7.0,7.0,3.0,4.0,TikTok,8.0
U476,26.0,Female,9.3,3.0,,2.0,1.0,Facebook,6.0
U477,34.0,Male,3.4,8.0,5.0,4.0,0.0,X (Twitter),10.0
U478,35.0,Male,3.3,9.0,,4.0,4.0,YouTube,10.0
U479,33.0,Male,6.8,6.0,8.0,2.0,1.0,TikTok,
U480,29.0,Female,9.0,4.0,10.0,3.0,3.0,TikTok,
U481,30.0,Male,5.0,7.0,8.0,186.0,5.0,YouTube,7.0
U482,46.0,Female,8.6,4.0,8.0,2.0,2.0,YouTube,4.0
U483,16.0,Female,5.7,6.0,6.0,0.0,2.0,X (Twitter),8.0
U484,18.0,,4.3,7.0,7.0,3.0,3.0,TikTok,10.0
U485,31.0,Female,3.7,7.0,7.0,0.0,1.0,LinkedIn,9.0
U486,38.0,Male,6.6,6.0,8.0,2.0,1.0,TikTok,7.0
,26.0,   Male   ,3.9,8.0,5.0,2.0,3.0,,10.0
U488,27.0,Female,5.6,7.0,7.0,5.0,2.0,Facebook,8.0
U489,25.0,Female,8.4,5.0,9.0,,3.0,Facebook,7.0
U490,47.0,Female,4.9,7.0,7.0,1.0,7.0,Instagram,10.0
U491,31.0,Male,7.9,5.0,8.0,2.0,3.0,Facebook,6.0
U492,23.0,Male,3.3,10.0,4.0,2.0,1.0,YouTube,10.0
U493,27.0,Female,4.5,5.0,7.0,6.0,5.0,Facebook,9.0
U494,39.0,Female,3.0,7.0,2.0,1.0,0.0,Facebook,10.0
U495,43.0,Female,5.6,8.0,6.0,2.0,0.0,Instagram,10.0
U496,23.0,Male,6.9,5.0,7.0,4.0,2.0,X (Twitter),10.0
U497,43.0,Female,5.6,7.0,6.0,5.0,2.0,Facebook,9.0
U498,41.0,Male,7.7,5.0,7.0,2.0,2.0,LinkedIn,8.0
U499,23.0,Male,4.2,9.0,7.0,0.0,2.0,Facebook,9.0
U500,43.0,Female,5.9,5.0,8.0,3.0,3.0,X (Twitter),7.0
U051,25.0,Female,2.0,9.0,4.0,5.0,3.0,X (Twitter),10.0
U488,27.0,Female,5.6,7.0,7.0,5.0,2.0,Facebook,8.0
U071,16.0,Male,6.9,5.0,8.0,3.0,3.0,YouTube,5.0
U480,29.0,Female,9.0,4.0,10.0,3.0,3.0,TikTok,
U048,33.0,,4.1,8.0,7.0,6.0,60.0,LINKEDIN,9.0
U019,27.0,Male,4.7,,6.0,0.0,2.0,Instagram,9.0
U262,37.0,Female,3.9,8.0,,3.0,0.0,LinkedIn,10.0
U084,49.0,Male,7.5,4.0,7.0,2.0,4.0,X (Twitter),8.0
U155,47.0,Female,3.3,8.0,5.0,4.0,,YouTube,10.0
U053,46.0,Female,3.6,7.0,5.0,3.0,3.0,YouTube,10.0
U107,38.0,Male,6.2,7.0,,1.0,3.0,Instagram,9.0
,,Female,2.5,9.0,4.0,5.0,4.0,YouTube,10.0
U304,28.0,Female,7.7,4.0,7.0,2.0,1.0,Facebook,7.0
U135,30.0,Female,7.7,4.0,10.0,2.0,1.0,X (Twitter),8.0
U443,44.0,Female,6.4,5.0,6.0,5.0,3.0,YouTube,6.0
U069,24.0,Female,4.8,6.0,7.0,5.0,2.0,TikTok,7.0
,18.0,Female,2.8,,6.0,2.0,0.0,,7.0
U143,17.0,MALE,2.2,10.0,5.0,4.0,1.0,LinkedIn,10.0
U192,17.0,Female,4.9,7.0,6.0,3.0,3.0,X (Twitter),10.0
U387,26.0,Male,,5.0,7.0,2.0,3.0,Instagram,7.0
